Data Point Number, Analog Reading 1, Analog Reading 2, Analog Reading 3, Current Milliseconds, Microseconds Write Time
871,479,240,217,1658,3204
872,479,788,702,1662,1304
873,479,795,861,1664,1288
874,479,789,841,1666,1296
875,479,724,755,1667,1292
876,479,516,544,1669,1304
877,479,293,307,1670,1292
878,479,208,176,1672,1304
879,479,209,151,1673,1292
880,479,228,191,1674,1304
881,478,351,324,1676,1288
882,479,545,529,1677,1304
883,479,724,723,1679,1292
884,479,789,821,1680,1304
885,479,784,812,1682,1288
886,479,692,724,1683,1304
887,479,491,512,1685,1292
888,478,277,281,1686,1304
889,479,210,168,1688,1288
890,479,211,155,1689,3236
891,479,318,313,1693,1292
892,479,565,548,1694,1300
893,479,747,741,1696,1296
894,479,786,814,1697,1288
895,479,762,789,1699,1296
896,479,640,662,1700,1288
897,479,422,432,1702,1296
898,479,217,210,1703,1288
899,479,209,142,1705,1296
900,479,212,154,1707,1292
901,479,255,215,1709,1304
902,479,414,387,1710,1292
903,479,623,615,1712,1304
904,479,793,801,1713,1288
905,479,791,850,1714,1304
906,479,784,821,1716,1292
907,479,659,682,1717,1304
908,479,420,434,1719,1292
909,479,208,203,1720,3248
910,479,213,161,1724,1296
911,479,293,257,1725,1304
912,479,482,458,1727,1292
913,479,688,680,1728,1300
914,479,792,822,1730,1292
915,479,787,833,1731,1300
916,479,736,776,1733,1292
917,479,569,592,1734,1300
918,479,339,344,1736,1296
919,479,212,180,1737,1288
920,479,210,143,1739,1296
921,479,220,174,1740,1288
922,479,316,279,1742,1296
923,479,499,477,1743,1292
924,479,690,687,1745,1296
925,479,790,819,1746,1292
926,479,787,822,1748,1296
927,479,712,754,1750,1292
928,479,547,570,1753,19112
929,479,275,261,1770,1308
930,479,212,183,1772,1300
931,479,225,190,1773,1308
932,479,313,273,1775,1300
933,479,478,460,1776,1308
934,479,660,678,1778,1300
935,479,784,810,1779,1308
936,479,787,828,1781,1300
937,479,718,768,1782,1308
938,479,572,596,1784,1300
939,479,357,345,1785,1308
940,479,209,182,1787,1300
941,479,211,146,1788,1300
942,479,226,174,1790,1300
943,479,319,274,1792,1300
944,479,495,482,1794,1300
945,479,688,706,1795,1300
946,479,791,824,1797,1300
947,479,788,836,1801,4256
948,479,434,448,1803,1300
949,479,220,234,1804,1292
950,480,210,166,1806,1296
951,479,222,181,1807,1288
952,479,312,273,1809,1296
953,479,496,486,1810,1288
954,480,697,715,1812,1296
955,480,792,829,1813,1292
956,480,790,843,1815,1304
957,480,729,785,1816,1292
958,479,571,592,1818,1304
959,479,337,321,1819,1300
960,479,207,175,1820,1304
961,480,211,135,1822,1292
962,479,220,164,1823,1304
963,479,318,272,1825,1292
964,479,505,494,1826,1304
965,480,705,715,1828,1292
966,479,792,828,1831,3292
967,479,774,794,1833,1296
968,479,525,539,1835,1304
969,479,285,287,1837,1292
970,480,208,174,1838,1300
971,479,210,153,1840,1292
972,479,261,204,1841,1296
973,479,381,350,1843,1292
974,479,578,590,1844,1300
975,480,758,776,1846,1292
976,480,791,846,1847,1300
977,480,787,836,1849,1296
978,480,692,739,1850,1292
979,479,480,489,1852,1296
980,480,254,248,1853,1292
981,480,208,158,1855,1296
982,480,212,148,1856,1292
983,479,260,201,1858,1296
984,480,387,356,1859,1292
985,480,587,852,1862,2864
986,480,794,878,1864,1300
987,480,786,847,1865,1292
988,480,687,736,1867,1304
989,480,467,475,1868,1292
990,480,242,240,1869,1304
991,480,207,157,1871,1292
992,480,209,149,1872,1304
993,480,265,206,1874,1292
994,480,400,370,1875,1304
995,480,605,624,1878,1292
996,479,783,802,1879,1304
997,480,793,859,1881,1292
998,480,789,841,1882,1304
999,480,689,731,1884,1292
1000,480,453,455,1885,1344
1001,480,220,211,1887,1332
1002,480,206,141,1888,1344
1003,480,211,145,1890,1332
1004,480,401,419,1893,3248
